ID,eta,pt,p,phi,motherPDG,nClusters,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT
3073,-2.55397,0.860595,5.56625,-0.40483,411,10,55.6965,108,-1,8
21891,-2.53068,0.938266,5.93061,2.67323,-411,10,339.624,0.151367,0.263672,-1
89317,-3.06247,0.493791,5.29025,1.03232,-211,10,51.3547,3.84375,-1,4.625
91333,-3.19394,0.343451,4.19445,-3.11416,411,10,42.8555,0.180664,0.605469,-1
101594,-2.82832,0.413028,3.50582,-1.11936,15,10,104.082,0.19043,1.58594,-1
124076,-3.48873,0.281048,4.60568,-2.64502,421,11,42.9393,0.0878906,1.35156,-1
141236,-3.00753,0.931121,9.44475,-2.43389,-411,9,313.712,0.165039,0.192383,-1
155831,-3.32923,0.694767,9.71025,-2.34929,411,10,57.4067,0.0478516,0.234375,-1
187634,-3.43737,1.09147,16.9925,1.81183,-421,10,47.8398,0.0791016,0.945312,-1
191029,-3.16949,0.320978,3.82565,0.846115,-411,10,22.5387,0.12793,0.835938,-1
214459,-4.01838,1.04257,28.9985,-2.88298,411,10,20.3157,0.0888672,0.53125,-1
221836,-2.82763,0.687133,5.82844,-0.50124,-211,10,136.088,24.5,-1,24
236576,-3.77432,0.205622,4.48164,0.585431,-211,10,38.4471,0.128906,1.47656,-1
280326,-2.30956,0.558723,2.84092,-2.54953,-211,10,81.7595,0.117676,0.265625,-1
288767,-3.10606,0.322621,3.60975,-3.08821,211,9,86.144,0.332031,0.462891,-1
292391,-3.20254,2.64258,32.5507,1.9643,411,10,50.988,1160,-1,620
309768,-2.5387,1.50078,9.56158,2.16354,521,10,78.7354,0.130859,1.44531,-1
